facility_id,facility_name,district,village_or_pincode,facility_type,specialty,doctor_available,teleconsultation_available,next_slot,diagnostic_test_available,medicine_name,medicine_in_stock,emergency_capable,operating_hours
FAC0093,Amravati Sub-Centre 40,Amravati,422134,Sub-Centre,General Medicine,Yes,No,2026-09-06 09:38,None,Labetalol,475,No,08:00-18:00
FAC0094,Palghar Rural Hospital 14,Palghar,420857,Rural Hospital,Pediatrics,Yes,No,2026-09-07 09:38,X-Ray,Oxytocin,771,Yes,24/7
FAC0095,Jalgaon District Hospital 67,Jalgaon,431497,District Hospital,Pediatrics,Yes,Yes,2026-09-06 08:38,Blood Test,Amoxicillin,0,Yes,24/7
FAC0096,Jalgaon Rural Hospital 55,Jalgaon,414220,Rural Hospital,Pediatrics,No,No,N/A,Ultrasound,Metformin,609,Yes,24/7
FAC0097,Jalgaon Rural Hospital 31,Jalgaon,437386,Rural Hospital,Pediatrics,No,No,N/A,X-Ray,Diazepam,367,Yes,24/7
FAC0098,Amravati CHC 61,Amravati,428326,CHC,General Medicine,Yes,Yes,2026-09-05 07:38,ECG,Aspirin,942,Yes,24/7
FAC0099,Palghar District Hospital 87,Palghar,437608,District Hospital,Emergency Medicine,Yes,Yes,2026-09-07 12:38,Ultrasound,Iron/Folic Acid,602,Yes,24/7
FAC0100,Nandurbar District Hospital 58,Nandurbar,427279,District Hospital,Orthopedics,Yes,Yes,2026-09-04 09:38,ECG,Oxytocin,586,Yes,24/7
FAC0101,Amravati District Hospital 9,Amravati,413947,District Hospital,Obstetrics and Gynecology,No,Yes,N/A,Ultrasound,Diazepam,75,Yes,24/7
FAC0102,Gadchiroli District Hospital 7,Gadchiroli,431979,District Hospital,Clinical Genetics,No,Yes,N/A,CT Scan,Metformin,869,Yes,24/7
FAC0103,Nagpur CHC 95,Nagpur,441639,CHC,General Medicine,No,No,N/A,None,Diazepam,666,No,24/7
FAC0104,Jalgaon PHC 37,Jalgaon,423935,PHC,General Medicine,Yes,No,2026-09-04 06:38,None,Labetalol,462,No,08:00-18:00
FAC0105,Pune PHC 90,Pune,442046,PHC,General Medicine,Yes,No,2026-09-04 11:38,Blood Test,Metformin,64,No,08:00-18:00
FAC0106,Nagpur District Hospital 70,Nagpur,414547,District Hospital,Emergency Medicine,Yes,Yes,2026-09-06 04:38,MRI,Oxytocin,0,Yes,24/7
FAC0107,Palghar District Hospital 66,Palghar,429683,District Hospital,Orthopedics,Yes,Yes,2026-09-06 07:38,MRI,Insulin,234,Yes,24/7
FAC0108,Pune CHC 60,Pune,413460,CHC,Obstetrics and Gynecology,Yes,No,2026-09-05 04:38,Ultrasound,Oxytocin,698,Yes,24/7
FAC0109,Nandurbar PHC 8,Nandurbar,436823,PHC,General Medicine,No,No,N/A,Blood Test,Amoxicillin,0,No,08:00-18:00
FAC0110,Palghar Rural Hospital 52,Palghar,422240,Rural Hospital,General Medicine,Yes,No,2026-09-07 10:38,Blood Test,Amoxicillin,627,Yes,24/7
FAC0111,Pune CHC 34,Pune,422150,CHC,General Medicine,Yes,Yes,2026-09-05 07:38,Ultrasound,Diazepam,667,Yes,24/7
FAC0112,Nashik Rural Hospital 59,Nashik,438077,Rural Hospital,Orthopedics,No,Yes,N/A,Blood Test,Metformin,121,No,24/7
FAC0113,Gadchiroli District Hospital 49,Gadchiroli,432234,District Hospital,Cardiology,No,Yes,N/A,CT Scan,Diazepam,336,Yes,24/7
FAC0114,Nashik Sub-Centre 33,Nashik,420446,Sub-Centre,General Medicine,Yes,No,2026-09-05 12:38,None,Iron/Folic Acid,314,No,08:00-18:00
FAC0115,Palghar Sub-Centre 93,Palghar,423380,Sub-Centre,General Medicine,Yes,No,2026-09-05 08:38,None,Aspirin,72,No,08:00-18:00
FAC0116,Gadchiroli CHC 95,Gadchiroli,437132,CHC,Obstetrics and Gynecology,Yes,Yes,2026-09-05 12:38,X-Ray,Aspirin,129,Yes,24/7
FAC0117,Satara Rural Hospital 64,Satara,435158,Rural Hospital,Orthopedics,Yes,Yes,2026-09-05 04:38,Blood Test,Insulin,857,Yes,24/7
FAC0118,Jalgaon Rural Hospital 4,Jalgaon,419825,Rural Hospital,Pediatrics,No,No,N/A,Blood Test,Labetalol,311,Yes,24/7
FAC0119,Nandurbar CHC 30,Nandurbar,435211,CHC,General Medicine,Yes,Yes,2026-09-06 05:38,X-Ray,Labetalol,0,Yes,24/7
FAC0120,Amravati District Hospital 44,Amravati,440779,District Hospital,General Medicine,No,Yes,N/A,Blood Test,Aspirin,164,Yes,24/7
FAC0121,Pune PHC 93,Pune,425910,PHC,General Medicine,No,No,N/A,None,Aspirin,0,No,08:00-18:00
FAC0122,Amravati Sub-Centre 9,Amravati,414253,Sub-Centre,General Medicine,No,No,N/A,None,Amoxicillin,966,No,08:00-18:00
FAC0123,Gadchiroli PHC 14,Gadchiroli,424764,PHC,General Medicine,No,No,N/A,Blood Test,Insulin,548,No,08:00-18:00
FAC0124,Pune Rural Hospital 74,Pune,423962,Rural Hospital,Obstetrics and Gynecology,Yes,Yes,2026-09-05 08:38,ECG,Aspirin,826,Yes,24/7
FAC0125,Satara Rural Hospital 27,Satara,438715,Rural Hospital,Obstetrics and Gynecology,Yes,Yes,2026-09-06 08:38,Ultrasound,Diazepam,962,Yes,24/7
FAC0126,Nashik District Hospital 4,Nashik,422022,District Hospital,Cardiology,Yes,Yes,2026-09-07 08:38,MRI,Iron/Folic Acid,0,Yes,24/7
FAC0127,Pune PHC 58,Pune,442478,PHC,General Medicine,No,Yes,N/A,Blood Test,Paracetamol,832,No,08:00-18:00
FAC0128,Nandurbar PHC 10,Nandurbar,433039,PHC,General Medicine,No,No,N/A,Blood Test,Paracetamol,169,No,08:00-18:00
FAC0129,Nagpur PHC 77,Nagpur,418936,PHC,General Medicine,No,Yes,N/A,None,Insulin,82,No,08:00-18:00
FAC0130,Gadchiroli CHC 83,Gadchiroli,421926,CHC,Emergency Medicine,No,Yes,N/A,ECG,Iron/Folic Acid,384,Yes,24/7
FAC0131,Nashik CHC 97,Nashik,423545,CHC,Obstetrics and Gynecology,Yes,Yes,2026-09-05 07:38,Ultrasound,Labetalol,0,Yes,24/7
FAC0132,Nagpur Rural Hospital 70,Nagpur,416242,Rural Hospital,General Medicine,Yes,Yes,2026-09-04 09:38,None,Amoxicillin,194,No,24/7
FAC0133,Nagpur District Hospital 65,Nagpur,435043,District Hospital,Orthopedics,Yes,Yes,2026-09-05 05:38,Ultrasound,Metformin,591,Yes,24/7
FAC0134,Satara Rural Hospital 89,Satara,433432,Rural Hospital,General Medicine,Yes,No,2026-09-05 06:38,ECG,Oxytocin,900,No,24/7
FAC0135,Nagpur PHC 39,Nagpur,442650,PHC,General Medicine,Yes,Yes,2026-09-05 09:38,Blood Test,Paracetamol,0,No,08:00-18:00
FAC0136,Gadchiroli Sub-Centre 71,Gadchiroli,411069,Sub-Centre,General Medicine,Yes,No,2026-09-06 10:38,Blood Test,Amoxicillin,260,No,08:00-18:00
FAC0137,Nagpur Rural Hospital 53,Nagpur,414586,Rural Hospital,Emergency Medicine,Yes,Yes,2026-09-05 08:38,X-Ray,Metformin,0,Yes,24/7
FAC0138,Pune PHC 59,Pune,412297,PHC,General Medicine,Yes,Yes,2026-09-06 03:38,None,Oxytocin,776,No,08:00-18:00
FAC0139,Pune Sub-Centre 29,Pune,425386,Sub-Centre,General Medicine,Yes,No,2026-09-05 12:38,Blood Test,Insulin,913,No,08:00-18:00
FAC0140,Amravati Rural Hospital 32,Amravati,424580,Rural Hospital,Pediatrics,Yes,No,2026-09-05 09:38,Blood Test,Iron/Folic Acid,333,Yes,24/7
FAC0141,Nashik PHC 98,Nashik,427618,PHC,General Medicine,Yes,No,2026-09-05 10:38,Blood Test,Oxytocin,228,No,08:00-18:00
FAC0142,Nashik Rural Hospital 41,Nashik,433484,Rural Hospital,General Medicine,Yes,No,2026-09-06 03:38,ECG,Metformin,217,No,24/7
FAC0143,Gadchiroli PHC 82,Gadchiroli,439887,PHC,General Medicine,No,Yes,N/A,Blood Test,Diazepam,945,No,08:00-18:00
FAC0144,Jalgaon CHC 35,Jalgaon,430618,CHC,Obstetrics and Gynecology,No,No,N/A,Ultrasound,Amoxicillin,201,Yes,24/7
FAC0145,Nashik Rural Hospital 60,Nashik,416643,Rural Hospital,Emergency Medicine,No,No,N/A,None,Paracetamol,258,Yes,24/7
FAC0146,Satara PHC 38,Satara,437058,PHC,General Medicine,Yes,No,2026-09-05 09:38,Blood Test,Diazepam,0,No,08:00-18:00
FAC0147,Gadchiroli PHC 66,Gadchiroli,431110,PHC,General Medicine,Yes,No,2026-09-05 06:38,None,Amoxicillin,953,No,08:00-18:00
FAC0148,Nashik CHC 8,Nashik,412303,CHC,Orthopedics,Yes,Yes,2026-09-06 12:38,Blood Test,Amoxicillin,540,Yes,24/7
FAC0149,Amravati CHC 5,Amravati,442239,CHC,Orthopedics,Yes,No,2026-09-07 06:38,ECG,Iron/Folic Acid,327,No,24/7
FAC0150,Satara Rural Hospital 21,Satara,438289,Rural Hospital,Emergency Medicine,Yes,No,2026-09-04 04:38,ECG,Oxytocin,182,No,24/7
